Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Syllabus Label,SDG Image,SDG Sort,GND Sort,UDHR Sort,SDG Objective,SDG Indicators,SDG UN Data,GND Description,GND Tab,Human Rights Description,🧊 Life Course Description,🧊 Life Dimension,Life Domain Sort,🔮 Research Circles Explainer,🔮 Research Circles Indicators,🔮Research Circle,🇪🇺 EU Competencies,🇪🇺 EU Comp Description
Article 23,article-23,64a6f1bd53424c49cad322f0,66e331234c5427021d668a75,false,false,Thu Sep 12 2024 18:21:23 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 14:30:02 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 14:31:12 GMT+0000 (Coordinated Universal Time),,,,,23,,,,,,"<p id="""">(1) Everyone has the right to work, to free choice of employment, to just and favourable conditions of work and to protection against unemployment.</p><p id="""">(2) Everyone, without any discrimination, has the right to equal pay for equal work.</p><p id="""">(3) Everyone who works has the right to just and favourable remuneration ensuring for himself and his family an existence worthy of human dignity, and supplemented, if necessary, by other means of social protection.</p><p id="""">(4) Everyone has the right to form and to join trade unions for the protection of his interests.</p>",,,,,,,,
Article 24,article-24,64a6f1bd53424c49cad322f0,66e33124fd0cc918456bbd9c,false,false,Thu Sep 12 2024 18:21:24 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:21:24 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,24,,,,,,"<p>Everyone has the right to rest and leisure, including reasonable limitation of working hours and periodic holidays with pay.</p>",,,,,,,,
Article 25,article-25,64a6f1bd53424c49cad322f0,66e331243ca4ae2552735a7e,false,false,Thu Sep 12 2024 18:21:24 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 14:30:11 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 14:31:12 GMT+0000 (Coordinated Universal Time),,,,,25,,,,,,"<p id="""">(1) Everyone has the right to a standard of living adequate for the health and well-being of himself and of his family, including food, clothing, housing and medical care and necessary social services, and the right to security in the event of unemployment, sickness, disability, widowhood, old age or other lack of livelihood in circumstances beyond his control.</p><p id="""">(2) Motherhood and childhood are entitled to special care and assistance. All children, whether born in or out of wedlock, shall enjoy the same social protection.</p>",,,,,,,,
Article 26,article-26,64a6f1bd53424c49cad322f0,66e33124e7f4b9ef6a1440d3,false,false,Thu Sep 12 2024 18:21:24 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 14:27:57 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 14:31:12 GMT+0000 (Coordinated Universal Time),,,,,26,,,,,,"<p id="""">(1) Everyone has the right to education. Education shall be free, at least in the elementary and fundamental stages. Elementary education shall be compulsory. Technical and professional education shall be made generally available and higher education shall be equally accessible to all on the basis of merit.</p><p id="""">(2) Education shall be directed to the full development of the human personality and to the strengthening of respect for human rights and fundamental freedoms. It shall promote understanding, tolerance and friendship among all nations, racial or religious groups, and shall further the activities of the United Nations for the maintenance of peace.</p><p id="""">(3) Parents have a prior right to choose the kind of education that shall be given to their children.</p>",,,,,,,,
Article 27,article-27,64a6f1bd53424c49cad322f0,66e33124ee03fa7268375c6f,false,false,Thu Sep 12 2024 18:21:24 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 14:30:18 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 14:31:12 GMT+0000 (Coordinated Universal Time),,,,,27,,,,,,"<p id="""">(1) Everyone has the right freely to participate in the cultural life of the community, to enjoy the arts and to share in scientific advancement and its benefits.</p><p id="""">(2) Everyone has the right to the protection of the moral and material interests resulting from any scientific, literary or artistic production of which he is the author.</p>",,,,,,,,
Article 28,article-28,64a6f1bd53424c49cad322f0,66e3312481b691d8a5763ddf,false,false,Thu Sep 12 2024 18:21:24 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:21:24 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,28,,,,,,<p>Everyone is entitled to a social and international order in which the rights and freedoms set forth in this Declaration can be fully realized.</p>,,,,,,,,
Article 29,article-29,64a6f1bd53424c49cad322f0,66e3312460b4c7cb3fb34a1a,false,false,Thu Sep 12 2024 18:21:24 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 14:30:28 GMT+0000 (Coordinated Universal Time),Thu Sep 26 2024 14:31:12 GMT+0000 (Coordinated Universal Time),,,,,29,,,,,,"<p id="""">(1) Everyone has duties to the community in which alone the free and full development of his personality is possible.</p><p id="""">(2) In the exercise of his rights and freedoms, everyone shall be subject only to such limitations as are determined by law solely for the purpose of securing due recognition and respect for the rights and freedoms of others and of meeting the just requirements of morality, public order and the general welfare in a democratic society.</p><p id="""">(3) These rights and freedoms may in no case be exercised contrary to the purposes and principles of the United Nations.</p>",,,,,,,,
Article 3,article-3,64a6f1bd53424c49cad322f0,66e3311f2c84415fce852657,false,false,Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,3,,,,,,"<p>Everyone has the right to life, liberty and security of person.</p>",,,,,,,,
Article 30,article-30,64a6f1bd53424c49cad322f0,66e331247b9441e455da4a12,false,false,Thu Sep 12 2024 18:21:24 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:21:24 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,30,,,,,,"<p>Nothing in this Declaration may be interpreted as implying for any State, group or person any right to engage in any activity or to perform any act aimed at the destruction of any of the rights and freedoms set forth herein.</p>",,,,,,,,
Article 4,article-4,64a6f1bd53424c49cad322f0,66e3311f64ebbd3c6cf6cceb,false,false,Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,4,,,,,,<p>No one shall be held in slavery or servitude; slavery and the slave trade shall be prohibited in all their forms.</p>,,,,,,,,
Article 5,article-5,64a6f1bd53424c49cad322f0,66e3311fbf35f11cb4e59d0f,false,false,Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,5,,,,,,"<p>No one shall be subjected to torture or to cruel, inhuman or degrading treatment or punishment.</p>",,,,,,,,
Article 6,article-6,64a6f1bd53424c49cad322f0,66e3311f355c1f0c7d240213,false,false,Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,6,,,,,,<p>Everyone has the right to recognition everywhere as a person before the law.</p>,,,,,,,,
Article 7,article-7,64a6f1bd53424c49cad322f0,66e3311f766d16460a432cfd,false,false,Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,7,,,,,,<p>All are equal before the law and are entitled without any discrimination to equal protection of the law. All are entitled to equal protection against any discrimination in violation of this Declaration and against any incitement to such discrimination.</p>,,,,,,,,
Article 8,article-8,64a6f1bd53424c49cad322f0,66e3311f5f67251059925a86,false,false,Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,8,,,,,,<p>Everyone has the right to an effective remedy by the competent national tribunals for acts violating the fundamental rights granted him by the constitution or by law.</p>,,,,,,,,
Article 9,article-9,64a6f1bd53424c49cad322f0,66e3311fea0ff5b532dadecd,false,false,Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:21:19 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,9,,,,,,"<p>No one shall be subjected to arbitrary arrest, detention or exile.</p>",,,,,,,,
Business Organizations,business-organizations,64a6f1bd53424c49cad322f0,66e373c614d7d9111ddfeb35,false,false,Thu Sep 12 2024 23:05:42 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:11:23 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,,,,,<p>Business organizations are defined as bodies that operate with their primary base in the economic domain and have a significant proportion of their activities directed towards a market of some kind.</p>,"<p id="""">1. Small and Medium Enterprises</p><p id="""">2. Corporations and Large Enterprises</p><p id="""">3. Co-operatives and State-run Enterprises</p><p id="""">4. Non-profit and Social Enterprises</p>",Engagement Circle,,
Citizenship & Advocacy,citizenship-advocacy,64a6f1bd53424c49cad322f0,66e336f73021dda9948df319,false,false,Thu Sep 12 2024 18:46:15 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 18:46:15 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,,"<p>Building valued roles, making choices, setting goals, assuming responsibility and driving how one’s own life is lived.</p>",🧊 Life Domain,,,,,,
Civil Society,civil-society,64a6f1bd53424c49cad322f0,66e373c68ad18b3e18a97db6,false,false,Thu Sep 12 2024 23:05:42 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:11:32 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,,,,,"<p>Civil society is defined as the many forms of public associational life that exist beyond the spheres of the state or the market, not including personal and familial relations. The formation of civil society depends upon the distinction between the private and the public. In being in the public sphere, civil society thus does not encompass personal or immediate genealogical relations. Civil society organizations cross all four domains of social life: ecology, economics, politics and culture.</p>","<p id="""">1. Individuals and Communities</p><p id="""">2. Community-Based and Faith-Based Organizations</p><p id="""">3. Social Movements and Networks</p><p id="""">4. Non-government Organizations and Foundations</p>",Engagement Circle,,
Clean Water and Sanitation,clean-water-and-sanitation,64a6f1bd53424c49cad322f0,66e317ed5f7a4f3b932fe779,false,false,Thu Sep 12 2024 16:33:49 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 16:45:47 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 23:41:39 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/64a6e8d0934bf5388f56b867/66e3186f024052a9b2823d89_E_SDG%20goals_icons-individual-rgb-06.png,6,,,Ensure availability and sustainable management of water and sanitation for all.,"<p id=""""><strong id="""">6.1.1</strong></p><p id="""">Proportion of population using safely managed drinking water services</p><p id=""""><strong id="""">6.2.1</strong></p><p id="""">Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water</p><p id=""""><strong id="""">6.3.1</strong></p><p id="""">Proportion of wastewater safely treated</p><p id=""""><strong id="""">6.3.2</strong></p><p id="""">Proportion of bodies of water with good ambient water quality</p><p id=""""><strong id="""">6.4.1</strong></p><p id="""">Change in water-use efficiency over time</p><p id=""""><strong id="""">6.4.2</strong></p><p id="""">Level of water stress: freshwater withdrawal as a proportion of available freshwater resources</p><p id=""""><strong id="""">6.5.1</strong></p><p id="""">Degree of integrated water resources management implementation (0-100)</p><p id=""""><strong id="""">6.5.2</strong></p><p id="""">Proportion of transboundary basin area with an operational arrangement for water cooperation</p><p id=""""><strong id="""">6.6.1</strong></p><p id="""">Change in the extent of water-related ecosystems over time</p><p id=""""><strong id="""">6.A.1</strong></p><p id="""">Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan</p><p id=""""><strong id="""">6.B.1</strong></p><p id="""">Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management</p><p id="""">‍</p>","<p id="""">2.6 billion people have gained access to improved drinking water sources since 1990, but 663 million people are still without.</p><p id="""">At least 1.8 billion people globally use a source of drinking water that is fecally contaminated.</p><p id="""">Between 1990 and 2015, the proportion of the global population using an improved drinking water source has increased from 76 per cent to 91 per cent.</p><p id="""">But water scarcity affects more than 40 per cent of the global population and is projected to rise. Over 1.7 billion people are currently living in river basins where water use exceeds recharge</p><p id="""">2.4 billion people lack access to basic sanitation services, such as toilets or latrines.</p><p id="""">More than 80 per cent of wastewater resulting from human activities is discharged into rivers or sea without any pollution removal</p><p id="""">Each day,nearly 1,000 children die due to preventable water and sanitation-related &nbsp;diarrhoeal diseases.</p><p id="""">Hydropower is the most important and widely-used renewable source of energy and as of 2011, represented 16 per cent of total electricity production worldwide.</p><p id="""">Approximately 70 per cent of all water abstracted from rivers, lakes and aquifers is used for irrigation.</p><p id="""">Floods and other water-related disasters account for 70 per cent of all deaths related to natural disasters</p><p id="""">‍</p>",,,,,,,,,,,
